"index","domain","category","status","asset_name","path","width","height","bytes"
"1","gameplay","sheets","review_sheet_only","01-player-weapons","art/gameplay/semantic-v2/sheets/01-player-weapons.png","1328","873","1461125"
"2","gameplay","sheets","review_sheet_only","02-enemies","art/gameplay/semantic-v2/sheets/02-enemies.png","1584","768","1669608"
"3","gameplay","sheets","review_sheet_only","03-bosses-modules","art/gameplay/semantic-v2/sheets/03-bosses-modules.png","1640","948","2140957"
"4","gameplay","sheets","review_sheet_only","04-projectiles-status-pickups","art/gameplay/semantic-v2/sheets/04-projectiles-status-pickups.png","1644","738","1189606"
"5","gameplay","sheets","review_sheet_only","05-world","art/gameplay/semantic-v2/sheets/05-world.png","1620","1256","2911847"
"6","gameplay","sheets","review_sheet_only","06-hud-glyphs","art/gameplay/semantic-v2/sheets/06-hud-glyphs.png","1680","708","1683416"
"7","gameplay","sheets","review_sheet_only","07-effect-atlases","art/gameplay/semantic-v2/sheets/07-effect-atlases.png","1592","2000","1537459"
"8","gameplay","sheets","review_sheet_only","08-effect-semantic-expansion","art/gameplay/semantic-v2/sheets/08-effect-semantic-expansion.png","1168","976","399974"
"9","gameplay","sheets","review_sheet_only","09-combat-cue-glyphs","art/gameplay/semantic-v2/sheets/09-combat-cue-glyphs.png","1148","1046","389893"
"10","gameplay","effects","runtime_effect_atlas","fx_barrier_contact","art/gameplay/semantic-v2/effects/atlases/fx_barrier_contact.png","648","128","64800"
"11","gameplay","effects","runtime_effect_atlas","fx_boss_module_disabled","art/gameplay/semantic-v2/effects/atlases/fx_boss_module_disabled.png","528","132","59254"
"12","gameplay","effects","runtime_effect_atlas","fx_boss_reduced_hit","art/gameplay/semantic-v2/effects/atlases/fx_boss_reduced_hit.png","390","96","13946"
"13","gameplay","effects","runtime_effect_atlas","fx_bulkhead_destroy","art/gameplay/semantic-v2/effects/atlases/fx_bulkhead_destroy.png","1300","260","219655"
"14","gameplay","effects","runtime_effect_atlas","fx_crate_destroy","art/gameplay/semantic-v2/effects/atlases/fx_crate_destroy.png","648","128","60441"
"15","gameplay","effects","runtime_effect_atlas","fx_dash_start","art/gameplay/semantic-v2/effects/atlases/fx_dash_start.png","300","52","10786"
"16","gameplay","effects","runtime_effect_atlas","fx_emp_release","art/gameplay/semantic-v2/effects/atlases/fx_emp_release.png","1548","1032","194643"
"17","gameplay","effects","runtime_effect_atlas","fx_enemy_destroy_heavy","art/gameplay/semantic-v2/effects/atlases/fx_enemy_destroy_heavy.png","1162","192","202280"
