keys,ko,en
DEPLOY_FIELD_TEMPLATE,"작전 구역 · %s","Operation field · %s"
FIELD_DROWNED_RUIN,"침수 유적","Drowned Ruins"
FIELD_TIDAL_ARCHIVE,"조수 기록고","Tidal Archive"
FIELD_STORM_DRYDOCK,"폭풍 건선거","Storm Drydock"
LANGUAGE_LABEL,"언어","Language"
LANGUAGE_KO,"한국어","한국어"
LANGUAGE_EN,"EN","EN"
BOSS_PRACTICE_OPEN,"보스 연습","Boss Practice"
BOSS_PRACTICE_KICKER,"디버그 전용 · 보상 없음","DEBUG ONLY · NO REWARDS"
BOSS_PRACTICE_TITLE,"보스 연습 설정","Boss Practice Setup"
BOSS_PRACTICE_BOSS,"보스","Boss"
BOSS_PRACTICE_FIELD,"전장","Field"
BOSS_PRACTICE_PHASE,"시작 단계","Start phase"
BOSS_PRACTICE_PHASE_VALUE,"%d단계","Phase %d"
BOSS_PRACTICE_MODE,"패턴 유형","Pattern type"
BOSS_PRACTICE_MODE_COMMITTED,"직접 공격","Direct attack"
BOSS_PRACTICE_MODE_AUTONOMOUS,"독립 기믹","Autonomous"
BOSS_PRACTICE_FULL,"전체 전투","Full Fight"
BOSS_PRACTICE_INVULNERABLE,"피해 무시 (피격 효과 유지)","Invulnerable (keep hit feedback)"
BOSS_PRACTICE_START,"연습 시작","Start Practice"
COMMON_BACK,"뒤로","Back"
SETTINGS_OPEN,"설정 열기","Open settings"
SETTINGS_TITLE,"설정","Settings"
SETTINGS_CLOSE,"돌아가기","Back"
SETTINGS_AUDIO_TAB,"음량","Audio"
SETTINGS_CONTROLS_TAB,"조작","Controls"
SETTINGS_GAMEPLAY_TAB,"게임","Gameplay"
SETTINGS_LANGUAGE_TAB,"언어","Language"
SETTINGS_AUDIO_HEADING,"음량 설정","Audio settings"
SETTINGS_CONTROLS_HEADING,"전투 조작","Combat controls"
SETTINGS_GAMEPLAY_HEADING,"게임 표시","Gameplay display"
SETTINGS_LANGUAGE_HEADING,"표시 언어","Display language"
SETTINGS_CONTROLS_HELP,"바꿀 항목을 누른 뒤 새 키나 마우스 버튼을 입력하세요. ESC는 취소합니다.","Choose an action, then press its new key or mouse button. Escape cancels."
SETTINGS_STATUS_READY,"변경 사항은 즉시 저장되고 HUD에 반영됩니다.","Changes save immediately and update the HUD."
SETTINGS_CAPTURE_PROMPT,"%s에 사용할 키나 마우스 버튼을 누르세요. ESC: 취소","Press a key or mouse button for %s. Escape: cancel"
SETTINGS_CAPTURE_WAITING,"입력 대기 중…","Waiting for input…"
SETTINGS_CAPTURE_CANCELLED,"키 변경을 취소했습니다.","Binding change cancelled."
SETTINGS_BINDING_CONFLICT,"이미 %s에서 사용하는 입력입니다. 기존 설정을 유지합니다.","That input is already used by %s. The previous binding remains."
SETTINGS_BINDING_SAVED,"%s: %s로 변경했습니다.","%s changed to %s."
SETTINGS_BINDINGS_RESET,"전투 조작을 기본값으로 되돌렸습니다.","Combat controls restored to defaults."
SETTINGS_RESET_BINDINGS,"기본 조작으로 초기화","Reset default controls"
SETTINGS_MOVEMENT_RESERVED,"이동","Movement"
SETTINGS_PAUSE_RESERVED,"일시정지","Pause"
SETTINGS_RESERVED_CONTROL,"고정 조작","a reserved control"
INPUT_UNBOUND,"미지정","Unbound"
INPUT_MOUSE_LEFT,"마우스 1","Mouse 1"
INPUT_MOUSE_RIGHT,"마우스 2","Mouse 2"
INPUT_MOUSE_MIDDLE,"마우스 3","Mouse 3"
INPUT_MOUSE_BUTTON,"마우스 %d","Mouse %d"
UI_HULL_INTEGRITY,"기체 내구도","Hull integrity"
HUD_STAGE_LABEL,"스테이지","STAGE"
HUD_DEFEATED_LABEL,"처치","DEFEATED"
UI_LOCKED_TARGET,"조준 대상","Locked target"
UI_NO_TARGET,"대상 없음","No target"
ACTION_PRIMARY,"주무기","Primary"
ACTION_SEEKER,"추적탄","Seeker"
ACTION_DASH,"대시","Dash"
ACTION_EMP,"EMP","EMP"
STATE_READY,"준비","Ready"
STATE_LIVE,"사용 가능","Live"
STATE_FIRING,"발사 중","Firing"
STATE_STARTUP,"충전 중","Charging"
STATE_SELECTED,"선택됨","Selected"
DEPLOY_TITLE,"출격 준비","Prepare for Deployment"
DEPLOY_CONTROLS,"이동 방향키/WASD · 조준 마우스 · 연속 발사 마우스 1 · 대시 Space · EMP Shift","Move Arrows/WASD · Aim Mouse · Hold Mouse 1 to fire · Dash Space · EMP Shift"
DEPLOY_CONTROLS_TEMPLATE,"이동 방향키/WASD · 조준 마우스 · 연속 발사 %s · 대시 %s · EMP %s","Move Arrows/WASD · Aim Mouse · Hold %s to fire · Dash %s · EMP %s"
DEPLOY_CONTROLS_HEADING,"조작","Controls"
DEPLOY_PRIMARY_HEADING,"기본 무장","Primary weapon"
DEPLOY_CONTROL_AIM,"조준","Aim"
DEPLOY_CONTROL_AIM_FIRE,"조준 · 발사","Aim · Fire"
DEPLOY_CONTROL_MOVE_BINDING,"방향키 / WASD","Arrow keys / WASD"
DEPLOY_CONTROL_AIM_BINDING,"마우스","Mouse"
DEPLOY_CONTROL_AIM_PRIMARY_BINDING,"마우스 조준 · %s 누르고 발사","Aim with mouse · Hold %s to fire"
DEPLOY_CONTROL_PRIMARY_BINDING,"%s · 누르고 발사","%s · Hold to fire"
DEPLOY_CONTROL_ACTION_BINDING,"%s","%s"
DEPLOY_COMMAND,"출격","Deploy"
DEPLOY_FOOTER,"모든 적을 섬멸할 필요는 없습니다. 처치 목표를 달성한 뒤 보스를 격파하면 다음 단계로 진행합니다.","You do not need to clear every enemy. Reach the defeat quota, then defeat the boss to advance."
UPGRADE_KICKER,"모듈 선택","Module Selection"
UPGRADE_TITLE,"모듈을 선택하십시오.","Select one module."
UPGRADE_DETAIL,"선택한 모듈은 즉시 적용됩니다.","The selected module applies immediately."
UPGRADE_SHORTCUT,"[%d] 선택","[%d] Select"
UPGRADE_NONE,"없음","None"
PAUSE_TITLE,"일시정지","Paused"
PAUSE_RESUME,"계속하기","Resume"
PAUSE_RESTART,"스테이지 다시 시작","Restart stage"
PAUSE_SETTINGS,"설정","Settings"
PAUSE_MASTER_VOLUME,"전체 음량","Master volume"
PAUSE_EFFECTS_VOLUME,"효과음 음량","Effects volume"
PAUSE_ABORT,"작전 종료","Abort run"
RESULT_KICKER,"스테이지 완료","Stage complete"
RESULT_STAGE_COMPLETE,"스테이지 %d 완료 · %s","Stage %d complete · %s"
RESULT_TITLE,"중계기가 고요해졌습니다","The relay is quiet"
RESULT_TITLE_CONTINUE,"다음 구역이 열렸습니다","The next sector is open"
RESULT_TITLE_FINAL,"모든 구역을 돌파했습니다","All sectors are clear"
RESULT_CLEAR_TIME,"클리어 시간  %s","Clear time  %s"
RESULT_HULL,"남은 내구도  %d%%","Hull integrity  %d%%"
RESULT_UPGRADE,"적용 회로  %s","Applied circuit  %s"
RESULT_PERFORMANCE,"전투 기록","Performance"
RESULT_PRIMARY_HITS,"명중  %d","Primary hits  %d"
RESULT_DASH_USES,"대시  %d회","Dash uses  %d"
RESULT_INSTALLATIONS,"설비 파괴  %d","Installations destroyed  %d"
RESULT_REWARD,"영구 보상","Persistent reward"
RESULT_RELAY_MODULE,"콜로서스 중계 모듈","Colossus Relay Module"
RESULT_ROUTE_CONTINUES,"항로 개방","Route opened"
RESULT_DEPLOYMENT,"출격 준비","Prepare deployment"
PRIMARY_PULSE_CANNON,"펄스 캐논","Pulse Cannon"
ENEMY_THREAT,"위협 개체","Threat"
ENEMY_RIVET_CHASER,"리벳 추격자","Rivet Chaser"
ENEMY_LANE_SKIRMISHER,"통로 척후병","Lane Skirmisher"
ENEMY_SCRAP_DRONE,"고철 드론","Scrap Drone"
ENEMY_NEEDLE_DRONE,"니들 드론","Needle Drone"
ENEMY_SPARK_MINELET,"스파크 소형 지뢰","Spark Minelet"
ENEMY_FLOOD_CONTROLLER,"침수 제어기","Flood Controller"
ENEMY_FOUNDRY_TURRET,"공방 포탑","Foundry Turret"
ENEMY_ARC_MINE,"아크 근접 지뢰","Arc Proximity Mine"
ENEMY_BARRIER_GENERATOR,"방벽 발전기","Barrier Generator"
ENEMY_FOUNDRY_COLOSSUS,"공방 콜로서스","Foundry Colossus"
ENEMY_SHIELD_ESCORT,"방벽 호위기","Shield Escort"
ENEMY_ARTILLERY_SPOTTER,"포격 관측기","Artillery Spotter"
ENEMY_INTERCEPTOR_TOWER,"요격 포탑","Interceptor Tower"
ENEMY_ARCHIVE_LEVIATHAN,"기록고 리바이어던","Archive Leviathan"
ENEMY_DRYDOCK_TITAN,"건선거 타이탄","Drydock Titan"
ENEMY_SWITCHYARD_BEHEMOTH,"분기장 베헤모스","Switchyard Behemoth"
ENEMY_CROWN_ENGINE,"왕관 엔진","Crown Engine"
ENEMY_BOSS_PHASE,"%s · 단계 %d","%s · Phase %d"
PATTERN_LANE_BARRAGE,"통로 포격","Lane barrage"
PATTERN_CHARGE,"돌진","Charge"
PATTERN_PYLONS,"파일런 전개","Pylons"
PATTERN_OVERLOAD_COMBO,"과부하 연계","Overload combo"
PATTERN_FAN,"부채꼴 사격","Fan fire"
PATTERN_SYSTEM_WAKE,"시스템 기동","System wake"
PATTERN_PHASE_TWO,"2단계 · 복합 압박","Phase two · Combined pressure"
PATTERN_RECOVERING_CONTROL,"제어 복구 중","Recovering control"
PATTERN_READING_ARENA,"전장 분석 중","Reading the arena"
PATTERN_RECOVERY_WINDOW,"회복 · 공격 기회","Recovery · Damage window"
PATTERN_CROWN_BEAM,"왕관 광선","Crown beam"
PATTERN_TWIN_FOUNDRY_LANES,"쌍둥이 주조 통로","Twin Foundry Lanes"
PATTERN_FOUNDRY_RAM,"주조소 강습","Foundry Ram"
PATTERN_FURNACE_RING,"용광로 고리","Furnace Ring"
PATTERN_CURRENT_FAN,"해류 부채","Current Fan"
PATTERN_UNDERTOW_SWEEP,"저류 휩쓸기","Undertow Sweep"
PATTERN_DEPTH_CHARGE,"심해 폭뢰","Depth Charge"
PATTERN_ARCHIVE_RAM,"기록고 강습","Archive Ram"
PATTERN_ARC_LANES,"전류 통로","Arc Lanes"
PATTERN_GROUNDED_RING,"접지 고리","Grounded Ring"
PATTERN_THUNDER_DROP,"낙뢰 강하","Thunder Drop"
PATTERN_ESCORT_SURGE,"호위기 쇄도","Escort Surge"
PATTERN_OPEN_LANE_CHARGE,"개방 통로 돌진","Open-Lane Charge"
PATTERN_GATE_SHOCKWAVE,"관문 충격파","Gate Shockwave"
PATTERN_RICOCHET_VOLLEY,"도탄 일제사격","Ricochet Volley"
PATTERN_SWITCH_SWEEP,"전환기 휩쓸기","Switch Sweep"
PATTERN_MIRROR_CROSS,"거울 십자","Mirror Cross"
PATTERN_CARRIER_WAVE,"운반기 파동","Carrier Wave"
PATTERN_RELAY_PULSE,"중계기 파동","Relay Pulse"
NOTIFY_REINFORCEMENT_FACILITY,"증원 조립소 가동 · 미니맵에서 찾아 파괴하세요.","Reinforcement fabricator online · Find and destroy it on the minimap."
NOTIFY_REINFORCEMENT_FACILITY_DESTROYED,"증원 조립소 파괴 · 추가 소환 중단.","Reinforcement fabricator destroyed · Additional spawning stopped."
NOTIFY_BARRIER_DEPLETED,"방벽 소진","Barrier depleted"
